,realAltitude,kalmanAltitude
351,1548.45,1548.23
352,1548.17,1548.23
353,1548.45,1548.23
354,1548.17,1548.23
355,1548.26,1548.23
356,1548.07,1548.23
357,1548.65,1548.23
358,1548.45,1548.23
359,1548.17,1548.23
360,1548.84,1548.24
361,1548.07,1548.23
362,1548.17,1548.23
363,1548.65,1548.24
364,1548.84,1548.24
365,1548.65,1548.24
366,1548.55,1548.25
367,1548.45,1548.25
368,1548.65,1548.25
369,1548.07,1548.25
370,1549.13,1548.25
371,1548.55,1548.26
372,1548.84,1548.26
373,1549.13,1548.27
374,1548.45,1548.27
375,1548.45,1548.27
376,1548.45,1548.27
377,1548.84,1548.27
378,1548.45,1548.27
379,1548.45,1548.27
380,1548.26,1548.27
381,1548.45,1548.28
382,1548.17,1548.28
383,1548.55,1548.28
384,1548.45,1548.28
385,1549.13,1548.28
386,1548.74,1548.29
387,1548.84,1548.29
388,1548.55,1548.29
389,1548.65,1548.29
390,1548.55,1548.29
391,1548.17,1548.29
392,1548.74,1548.3
393,1548.26,1548.3
394,1548.84,1548.3
395,1548.55,1548.3
396,1548.17,1548.3
397,1548.74,1548.3
398,1548.93,1548.31
399,1549.13,1548.31
400,1549.13,1548.32
401,1549.7,1548.32
402,1549.6,1548.33
403,1548.84,1548.34
404,1549.03,1548.34
405,1549.41,1548.35
406,1549.13,1548.35
407,1549.22,1548.36
408,1548.84,1548.36
409,1549.22,1548.36
410,1549.03,1548.37
411,1549.41,1548.38
412,1548.84,1548.38
413,1549.13,1548.38
414,1548.84,1548.39
415,1549.13,1548.39
416,1549.22,1548.4
417,1549.51,1548.4
418,1549.7,1548.41
419,1549.8,1548.42
420,1549.89,1548.43
421,1549.89,1548.44
422,1549.99,1548.45
423,1549.22,1548.45
424,1549.22,1548.46
425,1549.7,1548.47
426,1549.6,1548.47
427,1549.41,1548.48
428,1549.6,1548.49
429,1549.89,1548.5
430,1550.08,1548.51
431,1550.28,1548.52
432,1550.08,1548.53
433,1550.18,1548.54
434,1549.99,1548.55
435,1550.28,1548.56
436,1550.37,1548.57
437,1550.08,1548.59
438,1549.99,1548.6
439,1549.7,1548.6
440,1549.99,1548.61
441,1549.99,1548.62
442,1549.89,1548.63
443,1550.18,1548.64
444,1549.99,1548.65
445,1549.99,1548.66
