Index, RawAltitude, KalmanAltitude, ax, ay, az, Acceleration, isApogee1, isApogee2, isApogee3
110 , 1567.45, 1567.08, -3.45, -3.04, -34.60, -29.69, 0, 0, 0
111 , 1567.45, 1566.98, -3.65, -1.88, -0.40, -1.11, 0, 0, 0
112 , 1567.64, 1566.87, -3.83, -13.02, 8.45, -1.68, 0, 0, 0
113 , 1566.97, 1566.72, -3.95, -11.23, -0.05, -0.59, 0, 0, 0
114 , 1567.26, 1566.58, -4.02, -9.28, -0.15, -0.13, 0, 0, 0
115 , 1566.78, 1566.42, -4.08, -9.28, -0.15, -0.16, 0, 0, 0
116 , 1567.35, 1566.27, -4.12, -9.29, -0.15, -0.17, 0, 0, 0
117 , 1567.06, 1566.12, -4.15, -9.28, -0.15, -0.17, 0, 0, 0
118 , 1567.16, 1565.97, -4.16, -9.30, -0.14, -0.15, 0, 0, 0
119 , 1567.06, 1565.83, -4.16, -9.28, -0.17, -0.10, 0, 0, 0
120 , 1567.35, 1565.70, -4.16, -9.28, -0.15, -0.09, 0, 0, 0
121 , 1567.26, 1565.57, -4.15, -9.29, -0.15, -0.09, 0, 0, 0
122 , 1567.74, 1565.46, -4.12, -9.28, -0.15, -0.08, 0, 0, 0
123 , 1567.06, 1565.33, -4.11, -9.28, -0.15, -0.09, 0, 0, 0
124 , 1567.35, 1565.22, -4.08, -9.28, -0.16, -0.10, 0, 0, 0
125 , 1567.16, 1565.11, -4.06, -9.30, -0.15, -0.11, 0, 0, 0
126 , 1567.35, 1565.01, -4.03, -9.29, -0.15, -0.10, 0, 0, 0
127 , 1567.26, 1564.91, -4.00, -9.28, -0.16, -0.10, 0, 0, 0
128 , 1567.06, 1564.80, -3.98, -9.28, -0.15, -0.11, 0, 0, 0
129 , 1567.26, 1564.71, -3.94, -9.28, -0.15, -0.11, 0, 0, 0
130 , 1567.45, 1564.64, -3.91, -9.29, -0.14, -0.10, 0, 0, 0
131 , 1567.45, 1564.56, -3.87, -9.29, -0.15, -0.10, 0, 0, 0
132 , 1567.06, 1564.48, -3.84, -9.28, -0.14, -0.11, 0, 0, 0
133 , 1567.93, 1564.44, -3.79, -9.30, -0.14, -0.10, 0, 0, 0
134 , 1567.45, 1564.38, -3.76, -12.04, -1.15, -0.36, 0, 0, 0
135 , 1567.93, 1564.35, -3.67, -14.29, 1.04, 1.05, 0, 0, 0
136 , 1567.35, 1564.32, -3.43, -9.96, -1.62, 5.21, 0, 0, 0
137 , 1567.83, 1564.33, -3.14, -8.19, -5.91, 5.92, 0, 0, 0
138 , 1567.83, 1564.34, -2.87, -4.55, -8.65, 5.01, 0, 0, 0
139 , 1568.02, 1564.36, -2.58, -2.33, -8.94, 5.22, 0, 0, 0
140 , 1568.12, 1564.41, -2.25, -1.36, -6.79, 6.12, 0, 0, 0
141 , 1568.02, 1564.47, -1.88, -0.65, -4.90, 6.97, 0, 0, 0
142 , 1568.50, 1564.56, -1.49, 0.35, -5.76, 7.33, 0, 0, 0
143 , 1567.93, 1564.64, -1.09, 0.52, -3.78, 7.46, 0, 0, 0
144 , 1568.50, 1564.76, -0.68, 3.10, -1.50, 7.34, 0, 0, 0
145 , 1568.02, 1564.89, -0.19, 3.39, -2.35, 9.71, 0, 0, 0
146 , 1568.79, 1565.06, 0.33, 3.35, -4.48, 10.21, 0, 0, 0
147 , 1568.31, 1565.22, 0.79, 2.52, -3.64, 8.33, 0, 0, 0
148 , 1568.50, 1565.40, 1.24, 1.45, -4.37, 8.15, 0, 0, 0
149 , 1568.50, 1565.59, 1.69, 2.08, -4.28, 8.10, 0, 0, 0
150 , 1568.22, 1565.79, 2.14, 2.67, -5.74, 8.44, 0, 0, 0
151 , 1568.41, 1566.01, 2.64, 0.31, -5.61, 9.52, 0, 0, 0
152 , 1568.02, 1566.23, 3.07, -1.36, -5.14, 8.08, 0, 0, 0
153 , 1568.22, 1566.47, 3.53, -1.70, -5.64, 8.63, 0, 0, 0
154 , 1567.93, 1566.70, 3.96, -1.57, -6.55, 8.31, 0, 0, 0
155 , 1567.93, 1566.95, 4.40, -0.90, -6.86, 8.55, 0, 0, 0
156 , 1567.83, 1567.21, 4.83, -1.16, -6.77, 8.34, 0, 0, 0
157 , 1568.31, 1567.49, 5.24, -1.40, -6.17, 7.74, 0, 0, 0
158 , 1568.41, 1567.79, 5.64, -2.25, -6.20, 7.75, 0, 0, 0
159 , 1568.22, 1568.08, 5.99, -1.78, -7.09, 6.46, 0, 0, 0
160 , 1568.12, 1568.37, 6.34, -0.27, -7.68, 6.84, 0, 0, 0
161 , 1568.41, 1568.68, 6.68, 0.19, -7.43, 6.65, 0, 0, 0
162 , 1568.22, 1568.99, 7.00, 0.04, -8.08, 6.49, 0, 0, 0
163 , 1567.74, 1569.28, 7.33, -0.17, -7.75, 6.99, 0, 0, 0
164 , 1567.83, 1569.58, 7.66, -0.08, -7.62, 7.12, 0, 0, 0
165 , 1567.93, 1569.89, 7.97, -0.19, -7.61, 6.81, 0, 0, 0
166 , 1567.93, 1570.21, 8.30, -0.30, -7.79, 7.20, 0, 0, 0
