Index, Raw, Filtered
246, 1559.67, 1561.74
247, 1559.77, 1561.78
248, 1559.96, 1561.85
249, 1559.87, 1561.89
250, 1560.15, 1561.99
251, 1559.10, 1561.82
252, 1559.67, 1561.82
253, 1559.48, 1561.78
254, 1559.48, 1561.74
255, 1559.48, 1561.71
256, 1559.29, 1561.64
257, 1559.48, 1561.63
258, 1559.58, 1561.65
259, 1560.06, 1561.76
260, 1559.77, 1561.79
261, 1559.87, 1561.84
262, 1559.96, 1561.90
263, 1559.96, 1561.94
264, 1559.58, 1561.89
265, 1559.87, 1561.92
266, 1559.67, 1561.89
267, 1559.58, 1561.85
268, 1559.87, 1561.88
269, 1559.87, 1561.91
270, 1559.29, 1561.80
271, 1559.77, 1561.82
272, 1559.10, 1561.68
273, 1559.67, 1561.70
274, 1559.58, 1561.69
275, 1559.67, 1561.71
276, 1559.77, 1561.75
277, 1559.96, 1561.82
278, 1559.48, 1561.77
279, 1559.67, 1561.77
280, 1559.58, 1561.75
281, 1559.67, 1561.75
282, 1559.77, 1561.78
283, 1559.48, 1561.73
284, 1559.67, 1561.74
285, 1559.58, 1561.73
286, 1559.67, 1561.73
287, 1559.39, 1561.68
288, 1559.39, 1561.63
289, 1559.19, 1561.55
290, 1559.58, 1561.57
291, 1559.39, 1561.55
292, 1559.10, 1561.46
293, 1559.29, 1561.44
294, 1559.39, 1561.44
295, 1558.91, 1561.33
296, 1559.29, 1561.33
297, 1559.48, 1561.37
298, 1559.77, 1561.47
299, 1559.58, 1561.51
300, 1559.48, 1561.52
301, 1559.19, 1561.47
302, 1559.39, 1561.47
303, 1559.39, 1561.47
304, 1559.77, 1561.56
305, 1559.00, 1561.45
306, 1559.00, 1561.37
307, 1559.67, 1561.46
308, 1559.67, 1561.53
309, 1559.29, 1561.51
310, 1559.39, 1561.51
311, 1559.29, 1561.49
312, 1559.39, 1561.49
313, 1559.48, 1561.52
314, 1559.48, 1561.54
315, 1559.39, 1561.53
316, 1559.48, 1561.54
317, 1559.39, 1561.54
318, 1559.10, 1561.46
319, 1559.29, 1561.45
320, 1559.87, 1561.57
